"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Place of Death"	"Place of Death Code"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	15	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	9	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Diseases of liver"	"K70-K76"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of the digestive system"	"K90-K92"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Systemic connective tissue disorders"	"M30-M35"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Glomerular diseases"	"N00-N07"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Renal tubulo-interstitial diseases"	"N10-N15"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Other disorders of kidney and ureter"	"N25-N28"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Diseases of the genitourinary system"	"N00-N98"	"Other diseases of urinary system"	"N30-N39"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	"P00-P04"	82	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Disorders related to length of gestation and fetal growth"	"P05-P08"	135	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	51	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Infections specific to the perinatal period"	"P35-P39"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Haemorrhagic and haematological disorders of newborn"	"P50-P61"	7	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Transitory endocrine and metabolic disorders specific to newborn"	"P70-P74"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Digestive system disorders of newborn"	"P76-P78"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Conditions involving the integument and temperature regulation of newborn"	"P80-P83"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Other disorders originating in the perinatal period"	"P90-P96"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the nervous system"	"Q00-Q07"	22	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the circulatory system"	"Q20-Q28"	106	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the respiratory system"	"Q30-Q34"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations of the digestive system"	"Q38-Q45"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the urinary system"	"Q60-Q64"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations and deformations of the musculoskeletal system"	"Q65-Q79"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	22	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	41	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the digestive system and abdomen"	"R10-R19"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"General symptoms and signs"	"R50-R68"	7	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Abnormal findings on examination of blood, without diagnosis"	"R70-R79"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Ill-defined and unknown causes of mortality"	"R95-R99"	1518	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	21	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	596	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	73	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	40	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Outpatient or ER"	"2"	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Metabolic disorders"	"E70-E88"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Inflammatory diseases of the central nervous system"	"G00-G09"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	7	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	4	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Systemic connective tissue disorders"	"M30-M35"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	"P00-P04"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Disorders related to length of gestation and fetal growth"	"P05-P08"	10	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Infections specific to the perinatal period"	"P35-P39"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Other disorders originating in the perinatal period"	"P90-P96"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the nervous system"	"Q00-Q07"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Congenital malformations of the circulatory system"	"Q20-Q28"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Other congenital malformations"	"Q80-Q89"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Chromosomal abnormalities, not elsewhere classified"	"Q90-Q99"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Ill-defined and unknown causes of mortality"	"R95-R99"	119	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	52	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	9	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	2	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Metabolic disorders"	"E70-E88"	16	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Inflammatory diseases of the central nervous system"	"G00-G09"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	20	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Other degenerative diseases of the nervous system"	"G30-G31"	3	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Episodic and paroxysmal disorders"	"G40-G47"	6	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Diseases of myoneural junction and muscle"	"G70-G72"	5	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	1	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	12	Not Applicable	Not Applicable
